pharmacy_ID,name,street_address,locality,city,state
1,98.4 Chemists,6 Daystar Parkway,Dhaka,Las Vegas,Nevada
2,Plus Medicos,0043 Southridge Place,Narela,Erie,Pennsylvania
3,Apollo Pharmacy,76 Melvin Alley,Azadpur,Lafayette,Louisiana
4,Costco Pharmacies,657 Bartillon Plaza,Adarsh Nagar,Washington,District of Columbia
5,Fortis Healthworld,449 Scoville Plaza,Shalimar Bagh,Flint,Michigan
6,All Meds Pharmacy,5530 Crest Line Alley,Ashok Vihar,Houston,Texas
7,Giant Eagle Pharmacy,134 Hayes Circle,Bawana,Hartford,Connecticut
8,Navin Sons Chemists,615 Erie Lane,Narela,Pueblo,Colorado
9,Rite Pharmacy,18180 Welch Hill,Ashok Vihar,Milwaukee,Wisconsin
10,DFW Wellness,268 Vahlen Hill,Model Town,Newton,Massachusetts
11,Envolve Health,7 Coleman Terrace,Adarsh Nagar,Palmdale,California
12,Rx Pharmacy,961 Stephen Crossing,Dhaka,Madison,Wisconsin
13,Foundation Care,0185 Green Ridge Street,Dhaka,Pittsburgh,Pennsylvania
14,Life Line Pharmacy,24671 Dottie Center,Jahangirpuri,Arlington,Texas
15,GoGo Meds,7571 Crownhardt Road,Rani Bagh,Bronx,New York
16,Sachina Medicos,29830 Thackeray Hill,Kohat Enclave,Lawrenceville,Georgia
17,Unjha Ayurvedic Pharmacy,3 Anderson Drive,Shalimar Bagh,Fort Lauderdale,Florida
18,Warehouse HealthDirect,94052 Monument Trail,Rohini Sub City,Atlanta,Georgia
19,MedImpact Medisuite,321 Melody Park,Keshav Puram,New York City,New York
20,R.K.Medicos,9523 Arkansas Terrace,Rithala,Saint Petersburg,Florida
